i,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,forced_board,winner,confidence
0, , , , , , , , , , , , , , ,O, , ,X, , ,X,O,O, , , ,O, , , ,X,X, ,O,O, , ,O,X, ,O, , ,O, , , , , ,X, , , ,X, , , , , , ,X,O,X,X,X,X, ,X, , , , , , ,O, ,X, ,O,O, ,0.0,O,102.5
1,X,X,O, ,O,O,O,X,X,O,O,X,X,O,X, , ,X,O,O, , , ,O, ,X,X,X,O,O,O,O,X,X, ,O,X, , ,X,X, ,O,X,O,O,X,X,O, ,O,O, ,X,X, ,X,X, ,X, ,O,O, ,O,X,X,O,O,X, ,O,O,X, , ,X, , ,X,O,2.0,Draw,7.0
2, ,X, , , , , , , ,O,O, , ,X,X,O, , , ,X,O, , , , , , , , , , , , , , ,X, ,X, ,O,O, ,O, , , , , , ,X, , , ,O, , ,X, , , , , ,X, , , , , , , , , , , , , ,X,O, , ,O,8.0,X,3.0
3,O,O, ,X,X, ,X, ,O,O,X,O, , ,O, ,O,O, ,O, ,X,X, ,O, ,X,X,X, ,O,O,X, ,O,X,X,X, ,X,O, ,X, , ,O, ,X,O, , , ,O, , ,X, ,O,O, , , , ,X,X,O, , ,X, , , , , ,X, ,O,X, ,X,O,,Draw,61.0
4, , , ,X,O,O,O,O,X, ,X,X, , , , ,X, , , , , , , , , ,O, ,O, , ,O,X,O,X,O,O,O, ,O,X, , ,X, ,X, , , ,X, ,X, ,O,X, , ,X, ,O,O,X,X,X, , ,O,X,O,O,O, ,X,O, ,X, , ,X, , ,1.0,X,-52.0
5, , , , , , , , , , , ,O,X, , ,X, , , ,O, , , ,X, , , , ,O,X,X, ,O, , , , , , ,O, , ,X, , , ,X, ,O,O, , , , , , , , , ,O, ,O, , , , , , ,X, , , , , , , ,X, , , , ,5.0,X,3.5
6, ,X, ,O,X,O,O, ,O, , ,X, ,O, , ,X,O,O, , ,O, ,O, , , ,X, , ,O,X,O,X, ,X,X,X,X, , ,O, , , ,X,O,X,X, , ,O,X, ,O, , ,O,X,X,O,X,X, , , , ,O, ,O, ,O,X,O, ,X, , ,X,X,O,7.0,X,-353.5
7, , , ,X, ,X,X,X,X,X,O, ,X, , ,O, ,O, , , , , ,O,O, ,X,O, ,O,X,O,O,O,X, ,O, , ,X,X,X,X, ,X,O, ,X,X,O,X,O,X,O, ,X, , , ,O,X,X,X,O,O,X,O,O, , ,O,X,O,O, ,O,O, , ,O,X,1.0,O,37.0
8, , , , ,O, , , , , , , ,O,X, , ,O,X,X,X,O, , ,X, , , , ,O, ,O,X, , ,X, , ,X,O, , , ,O, ,O, , ,X, , ,O, , ,X, , , , ,X, ,O,X, , ,O,O,X, ,O, ,X, , , ,O,X, , ,X,O, ,2.0,O,1.5
9, , , ,X, , , , , , , , , , , , ,X, , , , , , , , , ,X, ,O, , , , , ,O, , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , ,O, ,O, , ,X, , , , , , ,O, , , ,4.0,X,0.5
11, , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , ,O, , , , , , , , , , , , , , , , , , , , ,X, , ,X, , ,O, , , , , , , , , , , , , ,O, , ,1.0,O,3.5
12,O, ,O, , , ,X, , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , ,O,X, ,O, , , , , , ,O, , ,X, , , , , , ,X, ,6.0,Draw,157.5
13, ,X,O, ,O,O,X,O, ,X,O, , ,X,O,X, ,X,X, ,O, , ,X, ,O, , ,O, , ,X, ,X,O, , ,O, , , , ,O, ,X,O,O,X,X, ,X, , ,O,X,X, ,O, ,O,O,X,X,X, , , , ,X,O, ,X,O,O,X,X, , ,O,X,O,7.0,O,-110.0
14, , , , , , , , , , , , , ,X,O, , , , , , , , ,X, , , , ,O, , , , , ,X,X, , , , , ,O, ,X, , ,X,O,X, ,X, , , , , , , , , , , , , , , , ,O,O, , , , , , ,O, , , , , ,5.0,X,2.0
15, , ,X,X, , , , , , , , , , ,O, ,X, , , , , ,O, , , ,X,O, , , ,O, ,O, , ,O, , , ,X,X, ,X,X, ,O, ,X, ,O, ,O,X, , , , , ,X, , , , ,X,O, ,O,X, ,O, ,O, , ,X,O, , ,X,O,0.0,O,-157.5
16, , ,X, ,X, , , , ,O, , , , , , ,X,X,O, , , ,O,X, , ,O, ,X,X,O,X,X, ,X, , ,O,O,O, , , ,X, , , , ,O,X,O, , ,X, , ,X, , , , , , , ,O,O,O, , , , , , , ,X,O, , , , , ,8.0,X,49.5
17, , ,O,X, ,O,O, , ,O, ,X, , , , , , ,X, , , ,O, , , , , , , , ,O, ,O, , ,X, , , , , ,X, , , , , , ,X,O,X, , ,X, , ,X, , , ,O,O, , , , , ,X, , , , ,X, , , , , , , ,4.0,X,2.5
18,X,X, , , ,X, ,X,O, ,O, ,X,O,X,O,X,X, ,X, ,X,O,O, ,X,O,O,O,X, ,O,O,X,O, , , ,X,X, ,X, ,X,X,O,O,O,X, ,X,O, ,O,O, ,O, , , ,X,O,X,O,X,O,O,O,X, ,O,O, , ,X,O,O, ,X,X,X,,X,10000.0
19, , , ,X, ,X, , , , , , , , , , , , , , , ,O, , , , , , , , , ,X, ,O,O, ,O, ,X,O, , , , , ,O, , , ,O,X, , , , , , , ,X, , , , , , , ,X, , , , , , , , , , , , , , ,3.0,Draw,2.5
20, , , ,X, , , , , , , , , , ,X, , , , , , , , , , , , , ,O, , , ,O, , , ,O, , ,X, , , , , , , , , ,X,O, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.0,X,3.0
21, , , , , , ,X,X, , , ,X, , , , , , ,O, , , , , , ,X, , ,O, , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , ,O, ,O, ,O, , , , , , , ,X, , , , , ,6.0,Draw,3.0
22, ,X, ,O, , ,X, ,X, ,O,O,X,O,O, , , , ,X, , , , , , , ,O, ,O,X, ,O, ,X,O, , , , , , ,X, , ,O,X, ,X, , , ,X, ,O, , , , , ,O,X,X, , , ,X, ,O,O, ,O,X,X, , , ,X, ,O,O,2.0,O,-108.5
23,X, ,O,X, ,X, ,X,O,X,O,O,X,O,O, ,O,X, ,X, ,O,X,X, ,X, , ,X,O,X, ,X,O, ,O,O, , , , , , , ,X,O,X,O,O,O,X, ,O, , ,X,O, , ,O,X, ,O,O,O,X, , , ,X, , ,O,X,O, , ,X,X, , ,4.0,Draw,-104.5
24,O, ,X,X,O,X, , ,X,O,X, ,O,O, ,X, ,X,O,O,X,O, ,X,O,O, ,O, ,O, ,X,O,X,X,O,O,O,X,X,X,O,O,X,O,O, ,X, ,X,X,X,X, ,X, , ,O,O,O, , ,X, , ,X,X,X,O,X,O,O,X,O,O, ,X,O, ,O,X,,Draw,0.0
27,O,O,O, , ,X,O, ,X,X, , , , , ,X,O,O, ,X,X, ,X, ,O,O,X,X, ,O,O,X,X,X,X, ,X,X, ,O,O,X,X, ,O,X, ,O,O,O,O, ,X, ,O,O, ,X,O,O, , ,X, , ,X,X, ,X, ,O,X, , ,O,O,O,O,X,O,X,1.0,X,10000.0
28, ,X, , , , , , , , , , ,O,X, , , , , , , , , , , , , , , , , , , , , , ,O, , , , , , , , , , , , , , , ,X, , , , , , , , , , , ,O, , , ,O, ,X, , , , , , , , , , ,3.0,Draw,2.0
29, , , , , ,X, ,O, , , ,X, , , ,X, , , , ,O, ,O,X,X,X,X, , ,O, , , , ,X, , , ,O, , , ,X, , , , ,O,X, , , ,O,O, , , ,O, ,O, ,X,O,X,O,X, , , ,O,O,X,O,O, , ,X,X,X, , ,6.0,X,-4.0
30, , ,X, , , , , , , , , , , , , , , , , , , ,X, , ,O, , , , , , , , , , , , ,X, , , , , ,O,O, ,O, , ,X,X,O, , , , , ,O,O, , ,O, , , , , ,X,X, , , , , , , ,X,X, , ,2.0,O,2.0
31, , , , , , ,X, , , , , , , , , , , , , , , , , , , , ,O, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , ,O, , , , , , ,X, , , , , , , , , ,O, ,X,5.0,Draw,0.5
32, ,O, , ,X,X,X, , , , ,X, ,X, , ,X, ,O,X,O,O,O, , ,X,X, , ,X, , , ,O,O,X,X,O,X,X, , ,O, , , , , , , , ,X, ,O,O, ,X,X,O, , , ,X, ,O, , ,O, , , ,X,O, ,O,O, ,O,O, ,X,1.0,X,49.0
33,X,X, ,X,O,O,X,X,X,O, , , , , ,X, , , , , ,X, , , , , ,X, , ,O, ,X,O,O, ,X,O, , ,X,O, , ,O,O, , ,O,O,X, , ,X,O, , ,X,X, ,O, , ,O, , , ,X, , , , ,O, ,O, , ,X, , , ,,X,52.0
34, , , , ,X,O,O,O,O, ,O,X,O,X,O, ,O,X, ,X,O,O,X,O, ,O,X, ,X, , ,O, ,O,X, , , ,X, ,X, ,X,O, ,X,X,O,X,O,X, ,O,O,X,O, ,X, ,X, , ,O,O,X,O,O,X,X,X, ,X,X,O,X, ,O,O,O,X,X,3.0,X,210.5
